frame_id,num_gt_boxes,num_rf_boxes,num_aligned_boxes,blind_iou,blind_dice,aligned_iou,aligned_dice
49,1,0,0,0.0,0.0,0.0,0.0
50,1,0,0,0.0,0.0,0.0,0.0
51,1,0,0,0.0,0.0,0.0,0.0
52,1,0,0,0.0,0.0,0.0,0.0
94,1,0,0,0.0,0.0,0.0,0.0
105,1,0,0,0.0,0.0,0.0,0.0
108,1,0,0,0.0,0.0,0.0,0.0
109,1,0,0,0.0,0.0,0.0,0.0
110,1,0,0,0.0,0.0,0.0,0.0
111,1,0,0,0.0,0.0,0.0,0.0
116,1,0,0,0.0,0.0,0.0,0.0
118,1,0,0,0.0,0.0,0.0,0.0
119,1,0,0,0.0,0.0,0.0,0.0
126,1,0,0,0.0,0.0,0.0,0.0
147,1,0,0,0.0,0.0,0.0,0.0
159,1,0,0,0.0,0.0,0.0,0.0
169,1,0,0,0.0,0.0,0.0,0.0
170,1,0,0,0.0,0.0,0.0,0.0
181,1,0,0,0.0,0.0,0.0,0.0
183,1,0,0,0.0,0.0,0.0,0.0
186,1,0,0,0.0,0.0,0.0,0.0
187,1,0,0,0.0,0.0,0.0,0.0
196,1,0,0,0.0,0.0,0.0,0.0
207,1,0,0,0.0,0.0,0.0,0.0
210,1,0,0,0.0,0.0,0.0,0.0
257,1,0,0,0.0,0.0,0.0,0.0
258,1,0,0,0.0,0.0,0.0,0.0
262,1,0,0,0.0,0.0,0.0,0.0
263,1,0,0,0.0,0.0,0.0,0.0
265,1,0,0,0.0,0.0,0.0,0.0
268,1,0,0,0.0,0.0,0.0,0.0
272,1,0,0,0.0,0.0,0.0,0.0
273,1,0,0,0.0,0.0,0.0,0.0
274,1,0,0,0.0,0.0,0.0,0.0
275,1,0,0,0.0,0.0,0.0,0.0
276,1,0,0,0.0,0.0,0.0,0.0
284,1,0,0,0.0,0.0,0.0,0.0
287,1,0,0,0.0,0.0,0.0,0.0
288,1,0,0,0.0,0.0,0.0,0.0
289,1,0,0,0.0,0.0,0.0,0.0
290,1,0,0,0.0,0.0,0.0,0.0
295,1,0,0,0.0,0.0,0.0,0.0
346,1,0,0,0.0,0.0,0.0,0.0
349,1,0,0,0.0,0.0,0.0,0.0
368,1,0,0,0.0,0.0,0.0,0.0
438,1,0,0,0.0,0.0,0.0,0.0
439,1,0,0,0.0,0.0,0.0,0.0
441,1,0,0,0.0,0.0,0.0,0.0
442,1,0,0,0.0,0.0,0.0,0.0
448,1,0,0,0.0,0.0,0.0,0.0
450,1,0,0,0.0,0.0,0.0,0.0
453,1,0,0,0.0,0.0,0.0,0.0
472,1,0,0,0.0,0.0,0.0,0.0
473,1,0,0,0.0,0.0,0.0,0.0
474,1,0,0,0.0,0.0,0.0,0.0
488,1,0,0,0.0,0.0,0.0,0.0
490,1,0,0,0.0,0.0,0.0,0.0
491,1,0,0,0.0,0.0,0.0,0.0
492,1,0,0,0.0,0.0,0.0,0.0
507,1,0,0,0.0,0.0,0.0,0.0
508,1,0,0,0.0,0.0,0.0,0.0
510,1,0,0,0.0,0.0,0.0,0.0
511,1,0,0,0.0,0.0,0.0,0.0
594,1,0,0,0.0,0.0,0.0,0.0
899,1,0,0,0.0,0.0,0.0,0.0
922,1,0,0,0.0,0.0,0.0,0.0
938,1,0,0,0.0,0.0,0.0,0.0
945,1,0,0,0.0,0.0,0.0,0.0
948,1,0,0,0.0,0.0,0.0,0.0
952,1,0,0,0.0,0.0,0.0,0.0
955,1,0,0,0.0,0.0,0.0,0.0
1084,1,0,0,0.0,0.0,0.0,0.0
1123,1,0,0,0.0,0.0,0.0,0.0
1124,1,0,0,0.0,0.0,0.0,0.0
1194,1,0,0,0.0,0.0,0.0,0.0
1195,1,0,0,0.0,0.0,0.0,0.0
1196,1,0,0,0.0,0.0,0.0,0.0
1198,1,0,0,0.0,0.0,0.0,0.0
1199,1,0,0,0.0,0.0,0.0,0.0
1203,1,0,0,0.0,0.0,0.0,0.0
1233,1,0,0,0.0,0.0,0.0,0.0
1239,1,0,0,0.0,0.0,0.0,0.0
1240,1,0,0,0.0,0.0,0.0,0.0
1241,1,0,0,0.0,0.0,0.0,0.0
1248,1,0,0,0.0,0.0,0.0,0.0
1250,1,0,0,0.0,0.0,0.0,0.0
1400,1,0,0,0.0,0.0,0.0,0.0
1471,1,0,0,0.0,0.0,0.0,0.0
1534,1,0,0,0.0,0.0,0.0,0.0
1537,1,0,0,0.0,0.0,0.0,0.0
1546,1,0,0,0.0,0.0,0.0,0.0
1917,1,0,0,0.0,0.0,0.0,0.0
1920,1,0,0,0.0,0.0,0.0,0.0
1995,1,0,0,0.0,0.0,0.0,0.0
1998,1,0,0,0.0,0.0,0.0,0.0
2000,1,0,0,0.0,0.0,0.0,0.0
2002,1,0,0,0.0,0.0,0.0,0.0
2017,1,0,0,0.0,0.0,0.0,0.0
2063,1,0,0,0.0,0.0,0.0,0.0
2064,1,0,0,0.0,0.0,0.0,0.0
2065,1,0,0,0.0,0.0,0.0,0.0
2066,1,0,0,0.0,0.0,0.0,0.0
2070,1,0,0,0.0,0.0,0.0,0.0
2110,1,0,0,0.0,0.0,0.0,0.0
2218,1,0,0,0.0,0.0,0.0,0.0
2220,1,0,0,0.0,0.0,0.0,0.0
2221,1,0,0,0.0,0.0,0.0,0.0
2224,1,0,0,0.0,0.0,0.0,0.0
2254,1,0,0,0.0,0.0,0.0,0.0
2318,1,0,0,0.0,0.0,0.0,0.0
2328,1,0,0,0.0,0.0,0.0,0.0
2329,1,0,0,0.0,0.0,0.0,0.0
2330,1,0,0,0.0,0.0,0.0,0.0
2333,1,0,0,0.0,0.0,0.0,0.0
2388,1,0,0,0.0,0.0,0.0,0.0
2389,1,0,0,0.0,0.0,0.0,0.0
2416,1,0,0,0.0,0.0,0.0,0.0
2557,1,0,0,0.0,0.0,0.0,0.0
2559,1,0,0,0.0,0.0,0.0,0.0
2668,1,0,0,0.0,0.0,0.0,0.0
2687,1,0,0,0.0,0.0,0.0,0.0
2691,1,0,0,0.0,0.0,0.0,0.0
2692,1,0,0,0.0,0.0,0.0,0.0
2693,1,0,0,0.0,0.0,0.0,0.0
2862,1,0,0,0.0,0.0,0.0,0.0
2864,1,0,0,0.0,0.0,0.0,0.0
2893,1,0,0,0.0,0.0,0.0,0.0
2900,1,0,0,0.0,0.0,0.0,0.0
2913,1,0,0,0.0,0.0,0.0,0.0
2917,1,0,0,0.0,0.0,0.0,0.0
2919,1,0,0,0.0,0.0,0.0,0.0
2920,1,0,0,0.0,0.0,0.0,0.0
2921,1,0,0,0.0,0.0,0.0,0.0
2922,1,0,0,0.0,0.0,0.0,0.0
2923,1,0,0,0.0,0.0,0.0,0.0
2926,1,0,0,0.0,0.0,0.0,0.0
2927,1,0,0,0.0,0.0,0.0,0.0
2928,1,0,0,0.0,0.0,0.0,0.0
2929,1,0,0,0.0,0.0,0.0,0.0
3057,1,0,0,0.0,0.0,0.0,0.0
3063,1,0,0,0.0,0.0,0.0,0.0
3064,1,0,0,0.0,0.0,0.0,0.0
3065,1,0,0,0.0,0.0,0.0,0.0
3066,1,0,0,0.0,0.0,0.0,0.0
3068,1,0,0,0.0,0.0,0.0,0.0
3076,1,0,0,0.0,0.0,0.0,0.0
3077,1,0,0,0.0,0.0,0.0,0.0
3080,1,0,0,0.0,0.0,0.0,0.0
3114,1,0,0,0.0,0.0,0.0,0.0
3119,1,0,0,0.0,0.0,0.0,0.0
3120,1,0,0,0.0,0.0,0.0,0.0
3134,1,0,0,0.0,0.0,0.0,0.0
3138,1,0,0,0.0,0.0,0.0,0.0
3139,1,0,0,0.0,0.0,0.0,0.0
3140,1,0,0,0.0,0.0,0.0,0.0
3142,1,0,0,0.0,0.0,0.0,0.0
3143,1,0,0,0.0,0.0,0.0,0.0
3144,1,0,0,0.0,0.0,0.0,0.0
3145,1,0,0,0.0,0.0,0.0,0.0
3311,1,0,0,0.0,0.0,0.0,0.0
3451,1,0,0,0.0,0.0,0.0,0.0
3463,1,0,0,0.0,0.0,0.0,0.0
3464,1,0,0,0.0,0.0,0.0,0.0
3465,1,0,0,0.0,0.0,0.0,0.0
3469,1,0,0,0.0,0.0,0.0,0.0
3472,1,0,0,0.0,0.0,0.0,0.0
3473,1,0,0,0.0,0.0,0.0,0.0
3474,1,0,0,0.0,0.0,0.0,0.0
3475,1,0,0,0.0,0.0,0.0,0.0
3476,1,0,0,0.0,0.0,0.0,0.0
3479,1,0,0,0.0,0.0,0.0,0.0
3480,1,0,0,0.0,0.0,0.0,0.0
3481,1,0,0,0.0,0.0,0.0,0.0
3610,1,0,0,0.0,0.0,0.0,0.0
3621,1,0,0,0.0,0.0,0.0,0.0
3977,1,0,0,0.0,0.0,0.0,0.0
3978,1,0,0,0.0,0.0,0.0,0.0
3989,1,0,0,0.0,0.0,0.0,0.0
3990,1,0,0,0.0,0.0,0.0,0.0
3991,1,0,0,0.0,0.0,0.0,0.0
3995,1,0,0,0.0,0.0,0.0,0.0
