Experiment,Mean IoU,Micro IoU,Mean Dice,Micro Dice
GT bbox → SAM 2,0.783371979892462,0.7778057310170963,0.8697855834964093,0.8750176888811216
RF-DETR → SAM 2 (blind),0.5801971545223459,0.5854851647304294,0.6659054174698061,0.7385564718670528
RF-DETR → SAM 2 (GT-aligned),0.5801218795007899,0.5856254600285361,0.6656821620143604,0.7386680837200946
