frame_id,num_gt_boxes,iou,dice
0,1,0.6048557554984291,0.7537820809454312
1,1,0.8213449286755433,0.9019103583776565
2,1,0.867848342739051,0.9292492574278493
3,1,0.7674281424281424,0.8684122697897387
4,1,0.7484975984483456,0.8561608538811589
5,1,0.5096510128830429,0.6751905023529131
6,1,0.607582698580503,0.755896040828256
7,1,0.9548177409734888,0.9768867152781155
8,1,0.9232436337366805,0.9600901493097943
9,1,0.9253406390043,0.96122277820183
10,1,0.9046043816159721,0.9499131581840167
11,1,0.9019248018828331,0.9484337140879197
12,1,0.4890830032785869,0.6568915261295024
13,1,0.8131730202585317,0.8969613061445015
14,1,0.8930505607596196,0.9435041823724639
15,1,0.8878778788787788,0.9406094417570001
16,1,0.910070945009164,0.9529184739311322
17,1,0.8996019488184033,0.9471478478719993
18,1,0.9083892489757607,0.9519957728364865
19,1,0.8444611326374778,0.9156724613979205
20,1,0.9298918482647296,0.9636724970892496
21,1,0.8951871247434348,0.9446952367456831
22,1,0.8508081747567935,0.9193909842856561
23,1,0.825173826387852,0.9042139597420474
26,1,0.9331640945051107,0.9654266775982102
27,1,0.9343539284421626,0.9660630505138706
28,1,0.9322711039070224,0.9649485540843462
29,1,0.9418635591427928,0.9700615212724468
30,1,0.9449214789679502,0.9716808510638298
31,1,0.8734976616618024,0.9324779843995166
32,1,0.9030995572061135,0.9490828304662403
33,1,0.8763496597200183,0.934100587468099
34,1,0.8356072581056373,0.9104423121185425
35,1,0.7723003094709002,0.871523076923077
36,1,0.6553505999496546,0.7917967347456016
48,1,0.6932509037134407,0.8188401402214918
49,1,0.7042447493974718,0.8264596380847932
50,1,0.7043134948968878,0.8265069742224851
51,1,0.719640941681251,0.8369665134602757
52,1,0.686716250409519,0.8142641066543239
53,1,0.701023066658194,0.8242369905487691
54,1,0.8940062905154974,0.944037298072725
55,1,0.9175590294257238,0.95700733624927
56,1,0.9155532000656883,0.9559151894442734
58,1,0.9208260068949284,0.9587812780434712
59,1,0.8961727600326513,0.9452437867710108
60,1,0.820584987905825,0.9014519985136471
61,1,0.8516448017192717,0.9198792348602827
62,1,0.8662748180295937,0.9283464682272288
63,1,0.8951873557094655,0.9446953653554228
64,1,0.8788116888219033,0.9354973614976352
67,1,0.9165649903436544,0.9564663812201928
68,1,0.9363415803876209,0.9671243853578583
69,1,0.9292436167356686,0.9633242880004688
70,1,0.9326081985020868,0.9651290926168342
94,1,0.9318840465266865,0.9647411791635329
95,1,0.9347473879116519,0.9662733168701775
96,1,0.9356368934804281,0.9667483572273506
97,1,0.8719439780498792,0.9315919581719936
98,1,0.8617946254833863,0.925767658459788
99,1,0.8700805992021493,0.9305273789518593
100,1,0.7721588566717054,0.8714330024813896
101,1,0.8488971414773059,0.9182740590955969
102,1,0.7684515074007295,0.8690670953485174
103,1,0.8178102881511535,0.8997751783910592
104,1,0.7402426845784484,0.8507350051096612
105,1,0.7000626404804894,0.8235727599809268
108,1,0.7785285430220661,0.8754748930812148
109,1,0.8145010904263725,0.8977686425473358
110,1,0.826064901156285,0.9047486763840774
111,1,0.68187849996019,0.8108534593626473
112,1,0.3965091169175328,0.567857541514278
113,1,0.39342384553983384,0.5646865407092491
114,1,0.6443573133310604,0.7837193389869166
115,1,0.7955586887557279,0.8861405575186494
116,1,0.8021638442611086,0.8902229914505889
117,1,0.582831845228022,0.7364418993529405
118,1,0.6483341315396327,0.7866537725989496
119,1,0.586321816162019,0.7392217773069257
120,1,0.5007965415359567,0.6673743277998597
121,1,0.6142792440400214,0.7610569810743254
122,1,0.5873315631788945,0.7400237944020538
123,1,0.8113754583439925,0.8958666792204124
124,1,0.826956182431657,0.9052829951630128
125,1,0.6083257368580979,0.7564708105044399
126,1,0.7198450662181741,0.8371045512850364
127,1,0.6773123401844355,0.807616236949594
128,1,0.9050196903782939,0.9501420850916007
129,1,0.8795776614625094,0.9359311716634313
130,1,0.9109461465784856,0.9533980308231272
131,1,0.9299296981373248,0.9636928215932924
132,1,0.9197388526184193,0.9581916325378793
133,1,0.6840405807970336,0.8123801630401167
134,1,0.8321312216342441,0.9083751336238796
135,1,0.8815701537130951,0.9370579693490593
136,1,0.43915666659272895,0.610297234188482
137,1,0.7439586745621771,0.8531838344723952
138,1,0.9063885456791918,0.9508959207014869
139,1,0.8653771487063641,0.9278307599152286
140,1,0.9208646259317393,0.9588022117748797
141,1,0.9062369111212779,0.9508124680979085
142,1,0.8706932026486103,0.930877603463619
143,1,0.9072402172819636,0.9513643945437404
144,1,0.8211874342401924,0.9018153967033004
145,1,0.921901560685855,0.9593639752879567
146,1,0.9138322589089957,0.9549763357316773
147,1,0.5652004583617313,0.7222083987290893
148,1,0.5368421868220418,0.6986302060488729
149,1,0.5476630387713272,0.7077290405618407
150,1,0.5782691853421015,0.7327890460165797
151,1,0.4358173262362108,0.6070651443922095
152,1,0.5438695799841503,0.7045537874899171
153,1,0.7961534184113215,0.8865093708036484
154,1,0.8623522206837789,0.9260892876291239
155,1,0.904741188911347,0.949988580263181
156,1,0.905790656151378,0.9505667930816327
157,1,0.6965543275927155,0.8211400204095726
158,1,0.6972720988354574,0.8216385567333299
159,1,0.5282450592185105,0.6913093630266811
160,1,0.7252883801229395,0.8407735060167244
161,1,0.8466033432900001,0.9169303698775392
162,1,0.9074588542324368,0.9514845913649855
163,1,0.9203350363187711,0.9585150704566926
164,1,0.8495706877497237,0.9186679842805598
165,1,0.8417161539059025,0.9140563296040978
166,1,0.7109452697358633,0.8310555367391961
167,1,0.5951985930915485,0.7462376103755629
168,1,0.5039058484941926,0.6701295150873117
169,1,0.6916277461819513,0.817706788911418
170,1,0.6558200564735546,0.7921392833835731
178,1,0.755146832887055,0.8604941976790716
181,1,0.9209648027191384,0.95885650941184
182,1,0.8882098851444155,0.9407957157013641
183,1,0.8905405950173345,0.9421015315560247
184,1,0.8773479487043048,0.9346673847113177
185,1,0.9031345127063011,0.9491021330090043
186,1,0.6124503018272628,0.7596516942360595
187,1,0.605041232881824,0.7539260929708115
188,1,0.5005686525041771,0.667171944007785
194,1,0.5789873677724146,0.7333654208889987
195,1,0.6357822671316753,0.777343390873789
196,1,0.6225723151704533,0.7673892982761157
197,1,0.5038726693675274,0.670100174876424
198,1,0.9224616011961397,0.9596671274185052
199,1,0.9283275554154848,0.9628318101957153
200,1,0.8870876788558185,0.9401658320334948
201,1,0.9097482110384976,0.9527415245424293
202,1,0.938685034898419,0.9683729105048806
203,1,0.9244606034554811,0.9607477563277297
204,1,0.8543846026864594,0.9214750828374079
205,1,0.8367732845560609,0.9111339887092325
206,1,0.7945995454391261,0.885545243180916
207,1,0.6729411471197265,0.8045006822604819
208,1,0.6903954655195975,0.8168449094926816
209,1,0.695634821008993,0.8205007497959416
210,1,0.7321154376156541,0.8453425467109151
211,1,0.7715829945261646,0.8710661559861446
212,1,0.9076895536637759,0.9516113897258918
213,1,0.9194388602938889,0.9580288065576748
214,1,0.8940357322745993,0.9440537124407123
215,1,0.91981699708859,0.9582340384354302
216,1,0.9119936615933557,0.9539714277434872
217,1,0.9228883674301264,0.9598980191070943
218,1,0.9482791405210116,0.9734530548506735
219,1,0.9442949851836263,0.9713495044523233
220,1,0.9204349997225767,0.9585692823298279
221,1,0.9510420823229688,0.9749067853940185
222,1,0.9349708879184861,0.9663927181088147
223,1,0.9387381275440977,0.9684011617734541
224,1,0.9337571691708711,0.9657439766040885
225,1,0.9398367916218068,0.9689854277235903
226,1,0.9224260630984755,0.9596478957549637
227,1,0.9092416030147458,0.9524636395718885
228,1,0.9243614282885618,0.9606941967348058
229,1,0.9011088437993301,0.947982380638955
230,1,0.8474373105538716,0.9174192874775332
231,1,0.8616233812185974,0.9256688435601712
232,1,0.8251565945873582,0.9042036141276024
233,1,0.8471695422786254,0.9172623550663105
234,1,0.9082550789575136,0.9519220873277554
235,1,0.849574253034038,0.9186700686824527
236,1,0.8676546520857898,0.9291382120530648
237,1,0.9093655884538663,0.9525316617759273
238,1,0.826846908903048,0.9052175142574351
239,1,0.8519485622140185,0.9200563985378811
240,1,0.813505867074811,0.8971637554026751
243,1,0.7719656011887824,0.8713099178346165
244,1,0.8139028354993955,0.8974051085545774
245,1,0.9514463963748344,0.975119171238645
246,1,0.9492120461722919,0.9739443669417899
247,1,0.9193082889878152,0.9579579208430663
248,1,0.8584774248251219,0.9238502586663407
249,1,0.847363328495404,0.9173759329579678
250,1,0.9312038148171541,0.9643765279174537
251,1,0.9326760520087296,0.9651654254621217
252,1,0.9167065836393634,0.9565434704134618
253,1,0.9115229935303375,0.9537138675448226
256,1,0.8211095229587279,0.9017684138235511
257,1,0.5000456928278876,0.6667072812764803
258,1,0.7374060477488751,0.8488586173673316
262,1,0.4865390927780433,0.6545930680757266
263,1,0.47365938377752526,0.6428342790630002
264,1,0.6064174532986274,0.7549936064917698
265,1,0.49955067553609056,0.6662671474673583
266,1,0.6550268919549352,0.7915604213309314
267,1,0.4255277771775535,0.5970108530891893
268,1,0.6232277944983277,0.7678870416224501
269,1,0.6022257091354012,0.7517364197836726
270,1,0.6592374121089142,0.7946269862261773
271,1,0.6848000081307837,0.812915485310973
272,1,0.6773671972446219,0.807655232983356
273,1,0.6800196367206677,0.8095377242709368
274,1,0.8163751399539473,0.8989058724671224
275,1,0.7406469223726853,0.8510019037785164
276,1,0.5901109989909182,0.7422261708338622
277,1,0.7836402134746592,0.8786976292130931
278,1,0.7987059066394859,0.8880894911071978
279,1,0.7822901965932587,0.8778482854122855
280,1,0.7749972858538704,0.8732377136915502
281,1,0.868888309924761,0.9298450905926436
282,1,0.744344466082191,0.8534374724207925
283,1,0.734607995608819,0.8470017404145351
284,1,0.6973400146566578,0.8216857066175012
287,1,0.742193426436024,0.852021842321282
288,1,0.7320759525933478,0.8453162247270373
289,1,0.7871247341609378,0.8808839350886114
290,1,0.7372749854334693,0.848771773743707
293,1,0.7695802840110503,0.8697884927454861
294,1,0.7138341011613398,0.8330259045232287
295,1,0.7166794231499887,0.834960113676823
296,1,0.5711348205625606,0.7270347688660609
297,1,0.811361908689366,0.8958584198962616
298,1,0.8584125873766183,0.9238127132881455
299,1,0.8643486157160053,0.9272392603290572
300,1,0.8903153014083874,0.9419754479531053
301,1,0.9181464123044425,0.9573267258586275
302,1,0.9211918045285667,0.9589795275590551
303,1,0.9263771448350887,0.9617817023201789
304,1,0.8385735594284817,0.9122001729309663
305,1,0.8130553462067044,0.8968897148206626
306,1,0.8563415146097668,0.9226120386471923
307,1,0.8281565087642839,0.9060017616588685
308,1,0.8512851757358821,0.9196694133279579
309,1,0.9029134042398781,0.9489800242387261
310,1,0.9296195550918508,0.9635262584676703
311,1,0.9094225056788398,0.9525628853479141
312,1,0.9108128029304684,0.9533249950320869
313,1,0.8817870270354281,0.9371804719310852
314,1,0.9144606795059019,0.9553193641374893
315,1,0.8473425205333057,0.9173637385758739
316,1,0.8722509379286538,0.931767126145665
317,1,0.8494876895361057,0.9186194580718479
318,1,0.8263175308408565,0.9049001796094143
319,1,0.8765565580493625,0.9342181074046848
320,1,0.8358732864344837,0.9106001951342335
321,1,0.8612695355899563,0.9254646026503244
322,1,0.861152398125863,0.9253969733945735
323,1,0.7888978386360586,0.8819931709879554
324,1,0.6976433370063626,0.8218962390964786
325,1,0.696910076362348,0.8213871625493654
326,1,0.7261450743416913,0.8413488357791999
327,1,0.8135867033346859,0.8972129116724602
328,1,0.829084704937776,0.906556927297668
329,1,0.8031637523503574,0.8908383959065982
330,1,0.8304357745836185,0.9073640125641921
331,1,0.9101361982105113,0.9529542438525187
332,1,0.7961723347859293,0.8865210975213226
333,1,0.7861411135511436,0.8802676424464192
334,1,0.8057221763558388,0.8924099032575227
335,1,0.8435851327854479,0.9151572311834458
336,1,0.8467618670214272,0.917023339221464
338,1,0.8387240199019019,0.9122891862223553
339,1,0.7492584240889464,0.8566583573598363
340,1,0.7684540753215399,0.8690687375433481
344,1,0.793794921804457,0.8850453439860827
346,1,0.8033245994587861,0.8909373273118771
348,1,0.8894295081967213,0.9414794299953495
349,1,0.7644900316033255,0.8665280255606344
368,1,0.8109104040917701,0.8955831301863526
369,1,0.5820215603987582,0.7357947261503264
371,1,0.5059925093632959,0.6719721462322805
372,1,0.4558318978403542,0.6262150163306018
373,1,0.7315777027470867,0.8449839722311793
374,1,0.6838206781421088,0.8122250629403384
376,1,0.9310111990461649,0.96427322586844
380,1,0.9374242396554769,0.9677015704337164
381,1,0.9397975985643189,0.9689645963680756
382,1,0.9467470703428553,0.9726451728278364
383,1,0.9415347439511756,0.9698870925534698
385,1,0.8961028152114356,0.9452048781558405
386,1,0.9018503456689712,0.9483925459463505
387,1,0.9267635187316945,0.9619898962398282
388,1,0.9293421741663778,0.9633772449595926
416,1,0.8297989787938728,0.9069837598672633
417,1,0.780680972043593,0.8768341823158214
418,1,0.7620005230361346,0.864926557142126
419,1,0.7806268342237941,0.876800033808412
421,1,0.8009856500942165,0.8894969818913481
422,1,0.7953765753595108,0.8860275735749115
423,1,0.8060710864305779,0.8926238756456187
425,1,0.8448430221089209,0.9158969212926787
426,1,0.8481253877743965,0.9178223440734731
427,1,0.6479185215748442,0.7863477630625288
428,1,0.48148477571229503,0.6500030018611539
431,1,0.8936160887129175,0.9438197045741246
432,1,0.9102664115395938,0.9530256157369773
433,1,0.8838768295755614,0.9383594677733781
434,1,0.901179058249667,0.9480212338119729
435,1,0.8117903394095624,0.8961195142194143
436,1,0.8557242461742779,0.9222536677401516
437,1,0.915068395044045,0.955650876399116
438,1,0.6569840612224159,0.7929877861803154
439,1,0.8805645961084494,0.9364896031018001
440,1,0.8676749384567499,0.9291498435736416
441,1,0.8453100320248084,0.9161712854259755
442,1,0.8580980468693528,0.9236305353370705
443,1,0.8416257684006582,0.9140030323658642
447,1,0.9164290022562606,0.9563923330082412
448,1,0.9033881371122964,0.9492421640106062
450,1,0.5840950955163541,0.7374495346517836
451,1,0.5229027896737476,0.6867185393832911
453,1,0.5396608692494826,0.7010126450931284
455,1,0.9201995012468828,0.9584415584415584
457,1,0.8956113717913331,0.9449314190861703
462,1,0.9151692823506618,0.9557058906326976
463,1,0.8448378131037522,0.915893860265579
464,1,0.8810458490691049,0.9367616951018162
470,1,0.7178296382730455,0.8357401948131342
471,1,0.7611376355645493,0.8643704162514924
472,1,0.7881960414409217,0.881554396917014
473,1,0.766598316090347,0.8678807277331763
474,1,0.7839251893939394,0.8788767534139318
476,1,0.8477258428040108,0.9175883382326319
487,1,0.6049383746952136,0.7538462338905625
488,1,0.4627213754129025,0.6326855998563414
489,1,0.5507327687513742,0.7102871363127454
490,1,0.6291046061450213,0.7723317505481524
491,1,0.6123795960245632,0.7595973026878146
492,1,0.650623764401118,0.7883368438442159
493,1,0.7655210388656908,0.8671899365838445
494,1,0.7633948040620522,0.8658240370262417
495,1,0.916805826143427,0.9565974953112711
496,1,0.8877127438771274,0.9405167674546454
497,1,0.9344697745720684,0.9661249680458679
498,1,0.946446049538833,0.9724862908613083
500,1,0.9568900713160458,0.9779701837543884
501,1,0.9594335812826492,0.979296864611866
502,1,0.9231798524877343,0.9600556612461935
503,1,0.8309691037706216,0.9076822782638532
505,1,0.8179583170363748,0.8998647651831817
507,1,0.6152558251706738,0.7618060440743665
508,1,0.31523318515967236,0.4793571036932167
510,1,0.2963051494277721,0.45715339410411204
511,1,0.3317815945169555,0.498252259804348
547,1,0.8808703502404334,0.9366624872658883
