frame_id,num_gt_boxes,num_rf_boxes,num_aligned_boxes,blind_iou,blind_dice,aligned_iou,aligned_dice
0,1,1,1,0.7145874609074386,0.8335386525330659,0.7145874609074386,0.8335386525330659
1,1,1,1,0.7616303342365278,0.8646880329369561,0.7616303342365278,0.8646880329369561
2,1,1,1,0.49641741686569907,0.6634745242480049,0.49641741686569907,0.6634745242480049
3,1,1,1,0.49717912552891397,0.6641544983513895,0.49717912552891397,0.6641544983513895
4,1,1,1,0.49688880044697187,0.6638954079937007,0.49688880044697187,0.6638954079937007
5,1,1,1,0.5104671919796606,0.6759063615418591,0.5104671919796606,0.6759063615418591
6,1,1,1,0.4327120653915436,0.6040460966918547,0.4327120653915436,0.6040460966918547
7,1,2,2,0.45525051892896534,0.6256661832548536,0.45525051892896534,0.6256661832548536
8,1,2,2,0.43799827437446076,0.6091777468439495,0.43799827437446076,0.6091777468439495
9,1,1,1,0.46076937035020865,0.6308584773238265,0.46076937035020865,0.6308584773238265
10,1,1,1,0.553755584668615,0.712796259762722,0.553755584668615,0.712796259762722
11,1,1,1,0.6388096611985822,0.7796020200800788,0.6388096611985822,0.7796020200800788
12,1,1,1,0.44264256797184,0.6136552155037758,0.44264256797184,0.6136552155037758
13,1,1,1,0.4629432284279526,0.6328929509115968,0.4629432284279526,0.6328929509115968
14,1,2,2,0.665620105418994,0.7992460024388988,0.665620105418994,0.7992460024388988
15,1,1,1,0.882420411048427,0.9375380822150742,0.882420411048427,0.9375380822150742
16,1,1,1,0.9032124955184707,0.9491451928203305,0.9032124955184707,0.9491451928203305
17,1,2,2,0.896104222099503,0.9452056608019911,0.896104222099503,0.9452056608019911
18,1,2,2,0.8786786672260147,0.9354219883951077,0.8786786672260147,0.9354219883951077
19,1,1,1,0.7955899053627761,0.8861599221366053,0.7955899053627761,0.8861599221366053
20,1,1,1,0.9310994899606172,0.9643205798574428,0.9310994899606172,0.9643205798574428
21,1,1,1,0.8781061909543881,0.9350974882928906,0.8781061909543881,0.9350974882928906
22,1,1,1,0.8014125571809179,0.8897601540371978,0.8014125571809179,0.8897601540371978
23,1,1,1,0.83549988335623,0.9103785741773082,0.83549988335623,0.9103785741773082
26,1,1,1,0.92778968443259,0.9625424307690164,0.92778968443259,0.9625424307690164
27,1,1,1,0.9186037940669959,0.9575752918947048,0.9186037940669959,0.9575752918947048
28,1,1,1,0.9335628597557696,0.965640041176307,0.9335628597557696,0.965640041176307
29,1,1,1,0.9437611280519002,0.9710669839331214,0.9437611280519002,0.9710669839331214
30,1,1,1,0.9427840454583069,0.9705495035974543,0.9427840454583069,0.9705495035974543
31,1,1,1,0.8717077733471176,0.9314571278274593,0.8717077733471176,0.9314571278274593
32,1,1,1,0.8754744765567477,0.9336031894862823,0.8754744765567477,0.9336031894862823
33,1,1,1,0.8604457610382282,0.9249888161835511,0.8604457610382282,0.9249888161835511
34,1,1,1,0.839580122706522,0.9127953844937959,0.839580122706522,0.9127953844937959
35,1,1,1,0.7725009731811756,0.8716508310793629,0.7725009731811756,0.8716508310793629
36,1,1,1,0.7068037576537032,0.8282191253496267,0.7068037576537032,0.8282191253496267
48,1,1,1,0.687019451310105,0.8144772139723458,0.687019451310105,0.8144772139723458
49,1,0,0,0.0,0.0,0.0,0.0
50,1,0,0,0.0,0.0,0.0,0.0
51,1,0,0,0.0,0.0,0.0,0.0
52,1,0,0,0.0,0.0,0.0,0.0
53,1,1,1,0.695704612780364,0.8205492955988969,0.695704612780364,0.8205492955988969
54,1,1,1,0.8942989191424016,0.9442004217024776,0.8942989191424016,0.9442004217024776
55,1,1,1,0.31269492723956976,0.47641675266792927,0.31269492723956976,0.47641675266792927
56,1,1,1,0.8997694219131266,0.9472406614556739,0.8997694219131266,0.9472406614556739
58,1,1,1,0.9208143543452076,0.9587749615283429,0.9208143543452076,0.9587749615283429
59,1,1,1,0.8889124879699997,0.9411896989736219,0.8889124879699997,0.9411896989736219
60,1,1,1,0.8156006638580365,0.8984361815829442,0.8156006638580365,0.8984361815829442
61,1,1,1,0.8488237299693147,0.918231106849113,0.8488237299693147,0.918231106849113
62,1,1,1,0.8609785000846454,0.9252965577468889,0.8609785000846454,0.9252965577468889
63,1,1,1,0.8863347354005674,0.9397427919518772,0.8863347354005674,0.9397427919518772
64,1,1,1,0.8726819738965488,0.9320130017386046,0.8726819738965488,0.9320130017386046
67,1,1,1,0.9133833058414939,0.954731133122115,0.9133833058414939,0.954731133122115
68,1,1,1,0.9324842740684325,0.965062729442332,0.9324842740684325,0.965062729442332
69,1,1,1,0.927602864528158,0.9624418821925939,0.927602864528158,0.9624418821925939
70,1,1,1,0.9298707053669065,0.9636611434962632,0.9298707053669065,0.9636611434962632
94,1,0,0,0.0,0.0,0.0,0.0
95,1,1,1,0.9333471091457619,0.9655246124511556,0.9333471091457619,0.9655246124511556
96,1,1,1,0.8036089121492512,0.8911121548979698,0.8036089121492512,0.8911121548979698
97,1,1,1,0.8725742055830088,0.9319515381355377,0.8725742055830088,0.9319515381355377
98,1,1,1,0.8608730561882445,0.925235661105901,0.8608730561882445,0.925235661105901
99,1,1,1,0.8682572445513498,0.9294836105504907,0.8682572445513498,0.9294836105504907
100,1,1,1,0.7967251442731187,0.8868636884306987,0.7967251442731187,0.8868636884306987
101,1,1,1,0.8311738698178938,0.9078044237279906,0.8311738698178938,0.9078044237279906
102,1,1,1,0.7548873405859104,0.8603257008325942,0.7548873405859104,0.8603257008325942
103,1,1,1,0.7971320023837902,0.8871156947029393,0.7971320023837902,0.8871156947029393
104,1,1,1,0.7166172817540426,0.8349179393345053,0.7166172817540426,0.8349179393345053
105,1,0,0,0.0,0.0,0.0,0.0
108,1,0,0,0.0,0.0,0.0,0.0
109,1,0,0,0.0,0.0,0.0,0.0
110,1,0,0,0.0,0.0,0.0,0.0
111,1,0,0,0.0,0.0,0.0,0.0
112,1,1,1,0.39599335590856116,0.5673284249276886,0.39599335590856116,0.5673284249276886
113,1,1,1,0.39754116086618035,0.5689151375259514,0.39754116086618035,0.5689151375259514
114,1,1,1,0.6060360844430346,0.7546979676402538,0.6060360844430346,0.7546979676402538
115,1,1,1,0.8022230111696753,0.8902594253848951,0.8022230111696753,0.8902594253848951
116,1,0,0,0.0,0.0,0.0,0.0
117,1,1,1,0.535407218927626,0.6974139659204811,0.535407218927626,0.6974139659204811
118,1,0,0,0.0,0.0,0.0,0.0
119,1,0,0,0.0,0.0,0.0,0.0
120,1,1,1,0.5482603019639005,0.7082275522642495,0.5482603019639005,0.7082275522642495
121,1,1,1,0.6362352345951415,0.7776818652271195,0.6362352345951415,0.7776818652271195
122,1,1,1,0.6278178913968936,0.7713613355829855,0.6278178913968936,0.7713613355829855
123,1,1,1,0.8044435470719339,0.8916250645550009,0.8044435470719339,0.8916250645550009
124,1,1,1,0.8301058966760848,0.9071670641395757,0.8301058966760848,0.9071670641395757
125,1,1,1,0.6382578498046593,0.779190955661544,0.6382578498046593,0.779190955661544
126,1,0,0,0.0,0.0,0.0,0.0
127,1,1,1,0.6569162906835337,0.7929384174411535,0.6569162906835337,0.7929384174411535
128,1,1,1,0.7942455084885446,0.8853253411876834,0.7942455084885446,0.8853253411876834
129,1,2,2,0.7502754281656029,0.8573227002928768,0.7502754281656029,0.8573227002928768
130,1,2,2,0.7122876107012776,0.8319719260359023,0.7122876107012776,0.8319719260359023
131,1,2,2,0.579816217652978,0.7340299601612778,0.579816217652978,0.7340299601612778
132,1,2,2,0.917525298140195,0.9569889889120122,0.917525298140195,0.9569889889120122
133,1,1,1,0.6382528486163863,0.7791872288278741,0.6382528486163863,0.7791872288278741
134,1,1,1,0.7462575483347147,0.8546935691660935,0.7462575483347147,0.8546935691660935
135,1,1,1,0.7887754195897345,0.8819166575652571,0.7887754195897345,0.8819166575652571
136,1,5,4,0.2783742010944484,0.4355128582165147,0.2957749615804361,0.45652211278983823
137,1,1,1,0.7289600582294604,0.8432352786402147,0.7289600582294604,0.8432352786402147
138,1,5,5,0.17255774915155275,0.29432707988397716,0.17255774915155275,0.29432707988397716
139,1,5,5,0.18492922032261044,0.3121354713022628,0.18492922032261044,0.3121354713022628
140,1,3,3,0.1328323116373891,0.23451363502404704,0.1328323116373891,0.23451363502404704
141,1,4,4,0.2141044956204713,0.3526953345330504,0.2141044956204713,0.3526953345330504
142,1,4,4,0.2217605214502836,0.3630179852055525,0.2217605214502836,0.3630179852055525
143,1,4,4,0.21584999495102494,0.3550602390876672,0.21584999495102494,0.3550602390876672
144,1,1,1,0.39241617274006035,0.5636478237219061,0.39241617274006035,0.5636478237219061
145,1,1,1,0.5286039120436165,0.6916165893320486,0.5286039120436165,0.6916165893320486
146,1,1,1,0.5708128407997434,0.7267738408722545,0.5708128407997434,0.7267738408722545
147,1,0,0,0.0,0.0,0.0,0.0
148,1,2,2,0.09984152139461172,0.18155619596541786,0.09984152139461172,0.18155619596541786
149,1,4,4,0.21551511457471664,0.35460705011491506,0.21551511457471664,0.35460705011491506
150,1,6,6,0.22305288086771247,0.3647477298111009,0.22305288086771247,0.3647477298111009
151,1,6,6,0.18743597469117204,0.3156986628098754,0.18743597469117204,0.3156986628098754
152,1,5,5,0.19550701980022642,0.32706963081303586,0.19550701980022642,0.32706963081303586
153,1,5,5,0.21085561571760644,0.34827540621784886,0.21085561571760644,0.34827540621784886
154,1,1,1,0.6455439737676948,0.7845964423419629,0.6455439737676948,0.7845964423419629
155,1,1,1,0.8620036533004402,0.9258882513710656,0.8620036533004402,0.9258882513710656
156,1,1,1,0.8923693136077495,0.9431238471167894,0.8923693136077495,0.9431238471167894
157,1,1,1,0.5264916385361179,0.6898061217564418,0.5264916385361179,0.6898061217564418
158,1,1,0,0.04633559915699487,0.08856737588652483,0.0,0.0
159,1,0,0,0.0,0.0,0.0,0.0
160,1,1,1,0.2815449922246039,0.43938370315953795,0.2815449922246039,0.43938370315953795
161,1,1,1,0.8485300105246176,0.9180592207792208,0.8485300105246176,0.9180592207792208
162,1,1,1,0.8808572211256822,0.936655064756584,0.8808572211256822,0.936655064756584
163,1,1,1,0.9062526069909068,0.9508211069900767,0.9062526069909068,0.9508211069900767
164,1,1,1,0.8496710252352794,0.9187266423521996,0.8496710252352794,0.9187266423521996
165,1,1,1,0.8330408119376479,0.9089168189955001,0.8330408119376479,0.9089168189955001
166,1,1,1,0.6815643285682542,0.8106312877706715,0.6815643285682542,0.8106312877706715
167,1,1,1,0.4779279050258027,0.6467540174328851,0.4779279050258027,0.6467540174328851
168,1,1,1,0.5225868394883928,0.6864460219083309,0.5225868394883928,0.6864460219083309
169,1,0,0,0.0,0.0,0.0,0.0
170,1,0,0,0.0,0.0,0.0,0.0
178,1,1,1,0.40134027389263216,0.572794889820432,0.40134027389263216,0.572794889820432
181,1,0,0,0.0,0.0,0.0,0.0
182,1,1,1,0.8315705486849659,0.9080409698463631,0.8315705486849659,0.9080409698463631
183,1,0,0,0.0,0.0,0.0,0.0
184,1,1,1,0.7597682663840053,0.8634867225389704,0.7597682663840053,0.8634867225389704
185,1,1,1,0.41326193309533255,0.5848341675632689,0.41326193309533255,0.5848341675632689
186,1,0,0,0.0,0.0,0.0,0.0
187,1,0,0,0.0,0.0,0.0,0.0
188,1,1,1,0.2755785338211347,0.43208399406912107,0.2755785338211347,0.43208399406912107
194,1,1,1,0.5795839579440212,0.7338438137829721,0.5795839579440212,0.7338438137829721
195,1,1,1,0.5803841173931809,0.734484877449307,0.5803841173931809,0.734484877449307
196,1,0,0,0.0,0.0,0.0,0.0
197,1,1,1,0.50483998419597,0.6709550377420413,0.50483998419597,0.6709550377420413
198,1,1,1,0.921864164797063,0.9593437264536395,0.921864164797063,0.9593437264536395
199,1,1,1,0.9250236642827093,0.9610517329690969,0.9250236642827093,0.9610517329690969
200,1,1,1,0.8933747412008282,0.9436850738108256,0.8933747412008282,0.9436850738108256
201,1,1,1,0.9080511130556745,0.9518100504147016,0.9080511130556745,0.9518100504147016
202,1,1,1,0.9394270572576411,0.9687676097352126,0.9394270572576411,0.9687676097352126
203,1,1,1,0.9252152315903853,0.9611551128505064,0.9252152315903853,0.9611551128505064
204,1,1,1,0.8563908487301451,0.9226406705419335,0.8563908487301451,0.9226406705419335
205,1,1,1,0.8204570184983678,0.9013747758517633,0.8204570184983678,0.9013747758517633
206,1,1,1,0.8233383952056837,0.9031109062043375,0.8233383952056837,0.9031109062043375
207,1,0,0,0.0,0.0,0.0,0.0
208,1,2,2,0.6861350443813936,0.8138553868122962,0.6861350443813936,0.8138553868122962
209,1,1,1,0.689100996318513,0.8159381799199052,0.689100996318513,0.8159381799199052
210,1,0,0,0.0,0.0,0.0,0.0
211,1,1,1,0.7668913081043719,0.8680684596577017,0.7668913081043719,0.8680684596577017
212,1,1,1,0.906467523169325,0.9509393809787088,0.906467523169325,0.9509393809787088
213,1,1,1,0.9143596731940737,0.9552642442247872,0.9143596731940737,0.9552642442247872
214,1,1,1,0.8846942281942816,0.9388199050642859,0.8846942281942816,0.9388199050642859
215,1,1,1,0.9195515113203466,0.9580899558020626,0.9195515113203466,0.9580899558020626
216,1,1,1,0.9118191491720056,0.953875945396726,0.9118191491720056,0.953875945396726
217,1,1,1,0.7220021247399406,0.8385612472446612,0.7220021247399406,0.8385612472446612
218,1,1,1,0.9482742226870781,0.9734504636408003,0.9482742226870781,0.9734504636408003
219,1,1,1,0.9447006967154842,0.9715641057886625,0.9447006967154842,0.9715641057886625
220,1,1,1,0.9212027388443143,0.9589854524134784,0.9212027388443143,0.9589854524134784
221,1,1,1,0.7953401241072474,0.8860049563062475,0.7953401241072474,0.8860049563062475
222,1,1,1,0.9349545178896301,0.9663839736236735,0.9349545178896301,0.9663839736236735
223,1,1,1,0.9393161971483547,0.9687086598147959,0.9393161971483547,0.9687086598147959
224,1,1,1,0.9332466620250279,0.9654708634515113,0.9332466620250279,0.9654708634515113
225,1,1,1,0.9401352219536819,0.9691440177112833,0.9401352219536819,0.9691440177112833
226,1,1,1,0.9228955392159834,0.9599018983550952,0.9228955392159834,0.9599018983550952
227,1,1,1,0.9131536581002921,0.9546056629941874,0.9131536581002921,0.9546056629941874
